TWHC-6010849-6010849,6010849,VB43522292,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6010849^VB43522292^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6010849-6010849,cram,6010849^VB43522292^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6010849-6010849.cram
TWHC-6011039-6011039,6011039,VB39775396,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6011039^VB39775396^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6011039-6011039,cram,6011039^VB39775396^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6011039-6011039.cram
TWHC-6016162-6016162,6016162,VB31445118,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6016162^VB31445118^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6016162-6016162,cram,6016162^VB31445118^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6016162-6016162.cram
TWHC-6025110-6025110,6025110,VB94131864,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6025110^VB94131864^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6025110-6025110,cram,6025110^VB94131864^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6025110-6025110.cram
TWHC-6034128-6034128,6034128,VB76233960,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6034128^VB76233960^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6034128-6034128,cram,6034128^VB76233960^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6034128-6034128.cram
TWHC-6036880-6036880,6036880,VB37056171,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6036880^VB37056171^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6036880-6036880,cram,6036880^VB37056171^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6036880-6036880.cram
TWHC-6037275-6037275,6037275,VB60426630,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6037275^VB60426630^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6037275-6037275,cram,6037275^VB60426630^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6037275-6037275.cram
TWHC-6040349-6040349,6040349,VB38389765,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6040349^VB38389765^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6040349-6040349,cram,6040349^VB38389765^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6040349-6040349.cram
TWHC-6070248-6070248,6070248,VB32061357,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6070248^VB32061357^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6070248-6070248,cram,6070248^VB32061357^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6070248-6070248.cram
TWHC-6071414-6071414,6071414,VB46929595,202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,6071414^VB46929595^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD.TWHC-6071414-6071414,cram,6071414^VB46929595^202007_MGI_UPittKambohPiB_WGS_ELLINGWOOD,/80/.ellingwood/xfer.genome.wustl.edu/gxfer1/38616200824932/TWHC-6071414-6071414.cram
