TWGX-MAP_10064-8036056040,MAP10064,8036056040,201909_MGI_gDNA_LINDSEY,MAP10064^8036056040^201909_MGI_gDNA_LINDSEY.TWGX-MAP_10064-8036056040,cram,MAP10064^8036056040^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_10064-8036056040.cram
TWGX-MAP_11570-8036056502,MAP11570,8036056502,201909_MGI_gDNA_LINDSEY,MAP11570^8036056502^201909_MGI_gDNA_LINDSEY.TWGX-MAP_11570-8036056502,cram,MAP11570^8036056502^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_11570-8036056502.cram
TWGX-MAP_11680-8036055912,MAP11680,8036055912,201909_MGI_gDNA_LINDSEY,MAP11680^8036055912^201909_MGI_gDNA_LINDSEY.TWGX-MAP_11680-8036055912,cram,MAP11680^8036055912^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_11680-8036055912.cram
TWGX-MAP_12061-1203920312,MAP12061,1203920312,201909_MGI_gDNA_LINDSEY,MAP12061^1203920312^201909_MGI_gDNA_LINDSEY.TWGX-MAP_12061-1203920312,cram,MAP12061^1203920312^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_12061-1203920312.cram
TWGX-MAP_12069-8036056558,MAP12069,8036056558,201909_MGI_gDNA_LINDSEY,MAP12069^8036056558^201909_MGI_gDNA_LINDSEY.TWGX-MAP_12069-8036056558,cram,MAP12069^8036056558^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_12069-8036056558.cram
TWGX-MAP_12126-8036056029,MAP12126,8036056029,201909_MGI_gDNA_LINDSEY,MAP12126^8036056029^201909_MGI_gDNA_LINDSEY.TWGX-MAP_12126-8036056029,cram,MAP12126^8036056029^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_12126-8036056029.cram
TWGX-MAP_16061-8036056432,MAP16061,8036056432,201909_MGI_gDNA_LINDSEY,MAP16061^8036056432^201909_MGI_gDNA_LINDSEY.TWGX-MAP_16061-8036056432,cram,MAP16061^8036056432^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_16061-8036056432.cram
TWGX-MAP_16227-8036123249,MAP16227,8036123249,201909_MGI_gDNA_LINDSEY,MAP16227^8036123249^201909_MGI_gDNA_LINDSEY.TWGX-MAP_16227-8036123249,cram,MAP16227^8036123249^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_16227-8036123249.cram
TWGX-MAP_16249-8036056072,MAP16249,8036056072,201909_MGI_gDNA_LINDSEY,MAP16249^8036056072^201909_MGI_gDNA_LINDSEY.TWGX-MAP_16249-8036056072,cram,MAP16249^8036056072^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_16249-8036056072.cram
TWGX-MAP_16263-8036056554,MAP16263,8036056554,201909_MGI_gDNA_LINDSEY,MAP16263^8036056554^201909_MGI_gDNA_LINDSEY.TWGX-MAP_16263-8036056554,cram,MAP16263^8036056554^201909_MGI_gDNA_LINDSEY,/40/AD/AD_Seq_Data/01.-RawData/201909_MGI_gDNA_LINDSEY/01.-RawData/xfer.genome.wustl.edu/gxfer1/54456299110049/TWGX-MAP_16263-8036056554.cram
